,year,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
1133,2009,,,,
1134,2009,,,,
1135,2009,,,,
1136,2009,,,,
1137,2009,,,,
1138,2009,,,,
1139,2009,,,,
1140,2009,,,,
1141,2009,,,,
1142,2009,,,,
1143,2009,,,,
1144,2009,,,,
1145,2009,,,,
1146,2009,,,,
1147,2009,,,,
1148,2009,,,,
1149,2009,,,,
1150,2009,,,,
1151,2009,,,,
1152,2009,,,,
1153,2009,,,,
1154,2010,,,,
1155,2010,,,,
1156,2010,,,,
1157,2010,,,,
1158,2010,,,,
1159,2010,,,,
1160,2010,,,,
1161,2010,,,,
1162,2010,,,,
1163,2010,,,,
1164,2010,,,,
1165,2010,,,,
1166,2010,,,,
1167,2010,,,,
1168,2010,,,,
1169,2010,,,,
1170,2010,,,,
1171,2010,,,,
1172,2010,,,,
1173,2010,,,,
1174,2010,,,,
1175,2010,,,,
1176,2010,,,,
1177,2010,,,,
1178,2010,,,,
1179,2010,,,,
1180,2010,,,,
1181,2010,,,,
1182,2010,,,,
1183,2010,,,,
1184,2010,,,,
1185,2010,,,,
1186,2010,,,,
1187,2010,,,,
1188,2010,,,,
1189,2010,,,,
1190,2010,,,,
1191,2010,,,,
1192,2010,,,,
1193,2011,,,,
1194,2011,,,,
1195,2011,,,,
1196,2011,,,,
1197,2011,,,,
1198,2011,,,,
1199,2011,,,,
1200,2011,,,,
1201,2011,,,,
1202,2011,,,,
1203,2011,,,,
1204,2011,,,,
1205,2011,,,,
1206,2011,,,,
1207,2011,,,,
1208,2011,,,,
1209,2011,,,,
1210,2011,,,,
1211,2011,,,,
1212,2011,,,,
1213,2011,,,,
1214,2011,,,,
1215,2011,,,,
1216,2011,,,,
1217,2011,,,,
1218,2011,,,,
1219,2011,,,,
1220,2011,,,,
1221,2011,,,,
1222,2011,,,,
1223,2011,,,,
1224,2011,,,,
1225,2011,,,,
1226,2011,,,,
1227,2011,,,,
1228,2011,,,,
1229,2011,,,,
1230,2011,,,,
1231,2011,,,,
1232,2011,,,,
1233,2011,,,,
1234,2011,,,,
1235,2011,,,,
1236,2012,,,,
1237,2012,,,,
1238,2012,,,,
1239,2012,,,,
1240,2012,,,,
1241,2012,,,,
1242,2012,,,,
1243,2012,,,,
1244,2012,,,,
1245,2012,,,,
1246,2012,,,,
1247,2012,,,,
1248,2012,,,,
1249,2012,,,,
1250,2012,,,,
1251,2012,,,,
1252,2012,,,,
1253,2012,,,,
1254,2012,,,,
1255,2012,,,,
1256,2012,,,,
1257,2012,,,,
1258,2012,,,,
1259,2012,,,,
1260,2012,,,,
1261,2012,,,,
1262,2012,,,,
1263,2012,,,,
1264,2012,,,,
1265,2012,,,,
1266,2012,,,,
1267,2012,,,,
1268,2012,,,,
1269,2012,,,,
1270,2012,,,,
1271,2012,,,,
1272,2012,,,,
1273,2012,,,,
1274,2012,,,,
1275,2012,,,,
1276,2012,,,,
1277,2012,,,,
1278,2013,,,,
1279,2013,,,,
1280,2013,,,,
1281,2013,,,,
1282,2013,,,,
1283,2013,,,,
1284,2013,,,,
1285,2013,,,,
1286,2013,,,,
1287,2013,,,,
1288,2013,,,,
1289,2013,,,,
1290,2013,,,,
1291,2013,,,,
1292,2013,,,,
1293,2013,,,,
1294,2013,,,,
1295,2013,,,,
1296,2013,,,,
1297,2013,,,,
1298,2013,,,,
1299,2013,,,,
1300,2013,,,,
1301,2013,,,,
1302,2013,,,,
1303,2013,,,,
1304,2013,,,,
1305,2013,,,,
1306,2013,,,,
1307,2013,,,,
1308,2013,,,,
1309,2013,,,,
1310,2013,,,,
1311,2013,,,,
1312,2013,,,,
1313,2013,,,,
1314,2013,,,,
1315,2013,,,,
1316,2013,,,,
1317,2014,,,,
1318,2014,,,,
1319,2014,,,,
1320,2014,,,,
1321,2014,,,,
1322,2014,,,,
1323,2014,,,,
1324,2014,,,,
1325,2014,,,,
1326,2014,,,,
1327,2014,,,,
1328,2014,,,,
1329,2014,,,,
1330,2014,,,,
1331,2014,,,,
1332,2014,,,,
1333,2014,,,,
1334,2014,,,,
1335,2014,,,,
1336,2014,,,,
1337,2014,,,,
1338,2014,,,,
1339,2014,,,,
1340,2014,,,,
1341,2014,,,,
1342,2014,,,,
1343,2014,,,,
1344,2014,,,,
1345,2014,,,,
1346,2014,,,,
1347,2014,,,,
1348,2014,,,,
1349,2014,,,,
1350,2014,,,,
1351,2014,,,,
1352,2014,,,,
1353,2014,,,,
1354,2015,,,,
1355,2015,,,,
1356,2015,,,,
1357,2015,,,,
1358,2015,,,,
1359,2015,,,,
1360,2015,,,,
1361,2015,,,,
1362,2015,,,,
1363,2015,,,,
1364,2015,,,,
1365,2015,,,,
1366,2015,,,,
1367,2015,,,,
1368,2015,,,,
1369,2015,,,,
1370,2015,,,,
1371,2015,,,,
1372,2015,,,,
1373,2015,,,,
1374,2015,,,,
1375,2015,,,,
1376,2015,,,,
1377,2015,,,,
1378,2015,,,,
1379,2015,,,,
1380,2015,,,,
1381,2015,,,,
1382,2015,,,,
1383,2015,,,,
1384,2015,,,,
1385,2015,,,,
1386,2015,,,,
1387,2015,,,,
1388,2015,,,,
1389,2015,,,,
1390,2015,,,,
1391,2015,,,,
1392,2015,,,,
1393,2015,,,,
1394,2016,323.0,211.0,152.0,135.0
1395,2016,191.0,320.0,142.0,188.0
1396,2016,361.0,130.0,194.0,148.0
1397,2016,180.0,127.0,122.0,98.0
1398,2016,139.0,122.0,,
1399,2016,109.0,148.0,,
1400,2016,134.0,115.0,116.0,127.0
1401,2016,222.0,7.0,131.0,20.0
1402,2016,96.0,104.0,118.0,104.0
1403,2016,51.0,130.0,135.0,139.0
1404,2016,39.0,114.0,95.0,102.0
1405,2016,16.0,137.0,54.0,155.0
1406,2016,120.0,31.0,133.0,37.0
1407,2016,11.0,124.0,20.0,127.0
1408,2016,63.0,69.0,68.0,64.0
1409,2016,34.0,90.0,,
1410,2016,73.0,44.0,93.0,92.0
1411,2016,80.0,35.0,50.0,55.0
1412,2016,56.0,52.0,119.0,78.0
1413,2016,24.0,80.0,39.0,84.0
1414,2016,53.0,43.0,93.0,71.0
1415,2016,10.0,67.0,,
1416,2016,33.0,40.0,53.0,80.0
1417,2016,8.0,54.0,,
1418,2016,0.0,41.0,41.0,120.0
1419,2016,10.0,1.0,,
1420,2016,,,78.0,26.0
1421,2016,,,54.0,34.0
1422,2016,,,52.0,32.0
1423,2016,,,49.0,19.0
1424,2016,,,34.0,29.0
1425,2016,,,14.0,46.0
1426,2016,,,8.0,49.0
1427,2016,,,24.0,27.0
1428,2016,,,16.0,35.0
1429,2016,,,31.0,15.0
1430,2016,,,35.0,10.0
1431,2016,,,22.0,22.0
1432,2016,,,24.0,10.0
1433,2016,,,9.0,24.0
1434,2016,,,3.0,25.0
1435,2016,,,15.0,9.0
1436,2017,376.0,382.0,197.0,173.0
1437,2017,337.0,278.0,204.0,199.0
1438,2017,264.0,110.0,180.0,111.0
1439,2017,255.0,108.0,125.0,40.0
